#options: 480x320 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:35.40 aq:30.86 tex:102830 mv:20603 misc:5359 imb:600 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:35.40 aq:30.34 tex:348 mv:79 misc:229 imb:0 pmb:23 smb:577 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:35.40 aq:30.00 tex:43 mv:6 misc:111 imb:0 pmb:2 smb:598 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:35.40 aq:32.60 tex:2360 mv:565 misc:379 imb:3 pmb:87 smb:510 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:35.40 aq:34.06 tex:2013 mv:486 misc:373 imb:0 pmb:100 smb:500 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:35.40 aq:32.74 tex:20260 mv:2704 misc:604 imb:51 pmb:326 smb:223 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:35.40 aq:33.40 tex:12796 mv:1923 misc:633 imb:33 pmb:289 smb:278 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:35.40 aq:30.20 tex:49809 mv:3514 misc:693 imb:89 pmb:432 smb:79 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:35.40 aq:30.59 tex:2900 mv:544 misc:484 imb:0 pmb:120 smb:480 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:35.40 aq:31.03 tex:8250 mv:1305 misc:597 imb:17 pmb:217 smb:366 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:35.40 aq:31.44 tex:3235 mv:696 misc:461 imb:5 pmb:118 smb:477 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:35.40 aq:32.17 tex:6028 mv:970 misc:522 imb:22 pmb:148 smb:430 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:35.40 aq:32.66 tex:5716 mv:960 misc:508 imb:10 pmb:166 smb:424 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:35.40 aq:32.38 tex:9753 mv:1735 misc:544 imb:60 pmb:163 smb:377 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:35.40 aq:31.50 tex:13561 mv:1620 misc:563 imb:47 pmb:176 smb:377 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:35.40 aq:32.00 tex:9068 mv:1461 misc:551 imb:27 pmb:195 smb:378 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:35.40 aq:31.95 tex:2751 mv:523 misc:438 imb:6 pmb:97 smb:497 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:35.40 aq:31.93 tex:3900 mv:848 misc:500 imb:7 pmb:150 smb:443 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:35.40 aq:33.66 tex:7278 mv:1414 misc:556 imb:25 pmb:200 smb:375 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:35.40 aq:31.57 tex:14017 mv:1846 misc:577 imb:43 pmb:230 smb:327 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:35.40 aq:32.17 tex:13312 mv:1420 misc:540 imb:28 pmb:182 smb:390 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:35.40 aq:32.16 tex:6192 mv:897 misc:511 imb:13 pmb:157 smb:430 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:35.40 aq:31.22 tex:10948 mv:1686 misc:598 imb:39 pmb:238 smb:323 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:35.40 aq:31.11 tex:12725 mv:1509 misc:614 imb:20 pmb:245 smb:335 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:35.40 aq:31.55 tex:7767 mv:1469 misc:556 imb:10 pmb:229 smb:361 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:35.40 aq:30.23 tex:7074 mv:1010 misc:516 imb:5 pmb:174 smb:421 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:35.40 aq:31.70 tex:5799 mv:731 misc:414 imb:4 pmb:127 smb:469 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:35.40 aq:31.48 tex:4934 mv:904 misc:498 imb:8 pmb:144 smb:448 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:35.40 aq:31.81 tex:5284 mv:736 misc:452 imb:1 pmb:136 smb:463 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:35.40 aq:31.76 tex:4458 mv:693 misc:441 imb:4 pmb:133 smb:463 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:35.40 aq:29.37 tex:5723 mv:739 misc:442 imb:4 pmb:139 smb:457 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:35.40 aq:29.75 tex:23889 mv:2232 misc:695 imb:30 pmb:432 smb:138 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:35.40 aq:30.40 tex:3308 mv:438 misc:454 imb:2 pmb:94 smb:504 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:35.40 aq:30.57 tex:2985 mv:413 misc:378 imb:1 pmb:81 smb:518 d:- ref:0 ;
